company,mse,rmse,mape
AAL,1143626.9181383215,1069.4049364662208,145.52214059464436
AAPL,49457495.977525204,7032.602361681286,19.251136224075648
AAP,66843.1553917261,258.54043279867483,204.58866374737727
AAT,115622212377013.28,10752776.96118604,15.277626639133029
ABBV,5888213.565169231,2426.5641481669572,36.06916535259714
ABG,17001.70493909964,130.39058608312044,44.765777092605866
ABT,3051367.5065030493,1746.81639175474,61.67318193769169
ACCO,350069350128905.1,18710140.302223954,36.34985608245675
ACHC,371.7178128505934,19.27998477309029,9.556858527252173
ACIW,4733281643648242.0,68798849.14479487,119.6073896778784
ACM,1934.0227445350872,43.977525448063666,13.96843182547303
ADBE,68761.27879365077,262.2237189760888,10.315120859992103
ADC,177.032768301678,13.305366146847595,9.494225712711192
ADI,92286.95031600635,303.7876730810622,23.472137197540434
ADM,295286.6960753382,543.4028855971766,44.92354412326439
ADP,101174.7494546673,318.0797847312326,16.924762006525185
ADSK,318095.4605990189,563.9995218074381,157.17943417552473
AGCO,69862.34837574945,264.3148659756947,62.3883477458359
AIR,389.94903780504876,19.7471273304511,51.00138654191297
AKAM,2989.398389889485,54.675391081266945,13.404674028787388
ALB,479323.2310361865,692.3317348180614,562.3189692852396
ALGT,3894.8525328219316,62.40875365541225,50.21235331832611
ALK,79005.66402288343,281.0794621150457,256.90563712130546
ALV,12663.297199904791,112.53131652968781,24.621891737817258
AMAT,76937.87465529886,277.3767738209147,12.004495254058348
AMCX,5730.061684204026,75.69717091281566,68.23675254642143
AMC,4.229453638940494e+16,205656355.09121752,298.6793956185286
AMD,848927.5731947981,921.372657069222,65.52690670025227
AMGN,194547.82761352466,441.07576176154214,11.64336122108719
AMH,4752.319015949803,68.93706561748769,27.922399883837308
AMKR,10351.138123407774,101.7405431645014,26.894822147390713
AMT,1110385.4767479743,1053.7482985741776,45.95434594820418
AMZN,165942690.76327646,12881.87450502746,53.08132097384824
AN,32070.224900485664,179.0816151939826,35.36519440160489
APD,36918.291216491474,192.14133135921452,15.947315901185966
APEI,52.88583138340791,7.272264529251388,75.15838016090966
APH,27059.760269417544,164.49851145046128,16.19780947990805
ARE,2778.070549044489,52.70740506840086,9.747493306678763
ARMK,4530116149172799.0,67306137.5297439,14.057626139398266
ARW,107499.35466203233,327.87094208244855,91.4828337169416
AR,129249.77820806687,359.5132517836677,51.74313401577946
ASGN,232.20118591793192,15.238149031884808,11.916706957394785
ASH,2904.232403448006,53.89093062332479,270.89381455403856
ATGE,816527904168329.1,28574952.391357176,30.063358210145186
ATI,5958.198481860813,77.18936767366871,44.86338467599106
ATR,268.61830077275863,16.389579029760302,7.757151008909838
AVB,13383.202756485844,115.68579323532273,19.274891241228573
AVGO,677400.9603662182,823.0437171658734,12.917796118182414
AVNT,292255204211638.06,17095473.20818111,13.956897901341142
AVT,31409.703007676155,177.22782797200938,55.01133086001742
AVY,4205.134246743428,64.84700645938429,16.979076409305694
AXTA,1658.628857187766,40.72626741045349,13.443256406848242
AZO,108867.6305323492,329.95095170699113,26.002763102320614
AZZ,2321.6714554372084,48.18372604352229,58.8127853088109
A,50195.540237188434,224.04361235524755,45.08231404733853
BAH,18196.06574098152,134.8927935101854,37.694240008025
BAX,79956.93090938791,282.76656610955246,77.25367352173507
BBWI,5.974705098328226e+16,244432098.9217297,70.74229068651987
BBY,324348.8879303974,569.5163631805476,76.41002938374939
BCC,87768.22902372613,296.2570320240958,124.41040607617482
BC,9415.125032587366,97.03156719638906,28.527410333155068
BDC,189.34223547373432,13.76016843914835,11.008980807662205
BDX,112472.2879419894,335.3688833836398,24.400238537542442
BECN,22581.898902046738,150.2727483679151,77.97511352420298
BERY,23481.10547358245,153.23545762512816,29.14975936888834
BFAM,457.40696926539187,21.38707481787521,19.252938422996362
BGS,413.1399122535434,20.3258434573708,24.802639208035878
BIIB,521335.4747851624,722.0356464781794,98.62731741919151
BIO,861059.7230059619,927.9330379967953,31.56724967020315
BKNG,3.1478094092291784e+18,1774206698.5639465,60.462949882714724
BLDR,438391.3630201349,662.1112920198045,95.0213849213474
BLMN,5260.191964822798,72.52718086912517,200.33218741897562
BMY,18684284.6885239,4322.5322079221,37.60810068763027
BR,38337.0000740132,195.79836586144737,48.21376425929459
BSX,113212.54221349438,336.47071523907454,30.267020263834283
BTU,69813.07238840224,264.2216349741297,52.473324969808054
BWA,19528.72168415735,139.7452027232325,19.53098451745495
BXC,7251.097892661332,85.15337863327169,86.10995197287605
BYD,14382.9418924799,119.92890349069276,30.329265451842392
BZH,1393244018220432.5,37326184.08330046,52.54283675070723
CABO,2028774431086707.5,45041918.5990862,18.54124210279254
CAG,4631.625484477466,68.05604664155467,8.654029998504845
CAH,1.1611138619689e+16,107754993.47913766,14.177504094990775
CAT,2274813.7059814804,1508.2485557697314,35.65144807816627
CBT,3051.157697473535,55.23728539196631,27.98962205947123
CCI,13413.536849054764,115.8168245509035,10.445847643957443
CCK,7728.6976213512025,87.91301167262559,17.642263768464677
CCO,2076.300804039381,45.56644383797556,23.506809967731122
CCS,1.884585531019201e+16,137280207.27764076,108.2279094659716
CDE,653.0229109187507,25.554312961196015,38.25539404191628
CDNS,1891.0207218251817,43.485868070272915,10.103974086378416
CDW,1.0136768066742266e+16,100681517.99979113,18.916716073424734
CENX,782.2172436191008,27.96814694646574,101.05223887377312
CHDN,26454.99650988009,162.64992010413067,59.75547749315958
CHH,6623.9764742593525,81.38781526899068,57.50239186011971
CHRW,32060.121863057575,179.05340505853994,78.14189207923481
CHTR,125998.29741473492,354.9623887325739,5.495591652450778
CIEN,5429.086179562083,73.68233288626305,88.47139413167723
CLF,264019.04283227434,513.8278338434717,256.56521510266117
CLH,14153.37234498701,118.96794671249484,42.792050816928196
CLW,593.5936022221723,24.363776435975034,47.25998286264846
CL,7741.178820706036,87.98396911202651,6.141034730045354
CMCO,225.62724571835284,15.020893639139878,29.8076244332736
CMC,24054.146363591837,155.09399202932343,48.54001105634714
CMI,521033.5622084687,721.8265457909322,39.46618378031106
CMP,1359.8826330860306,36.87658651618979,126.88601788105349
CNX,314251.38725512,560.5812940645808,219.21447910776033
COMM,2950.749660110422,54.32080319831825,14.858785474199882
COP,22270693.52682804,4719.1835657058355,60.75002422807789
COR,1.7716635030198202e+16,133103850.54609878,10.499679104388257
COST,613723.9314739632,783.4053430210719,28.785227474718905
COTY,13593.661566023948,116.59185891829647,59.471853243252326
CPB,6344.812726989781,79.65433275716885,14.892340165081011
CPT,2179.908277275414,46.689487866921546,17.470268045705353
CQP,773998.9781368674,879.772117162659,110.93217817007715
CRC,74587.55833717708,273.10722864321457,60.347349102489865
CRK,203317.56884859232,450.9074947797966,78.53965123661678
CRM,1639973.7178081893,1280.6145859735432,45.95534906462063
CROX,11287.724086359232,106.24370139617328,34.80609281487032
CRS,2410.8498462583384,49.10040576470156,39.55628285671962
CRWD,3.209052712464735e+20,17913829050.386562,253990.9897773005
CSCO,222682.43400287465,471.8923966360071,8.975634787397587
CSGP,7988.130678765367,89.37634294803836,224.69973709812433
CSGS,39.63437502317729,6.2955837714367116,9.311724087132315
CSL,15535.795793652898,124.6426724426787,31.343770477037282
CSV,79.94089409839775,8.940967179136592,27.64099413727023
CTRA,1.799851064498826e+18,1341585280.3675308,117.65912149218241
CUBE,1515.9939245550117,38.93576664912368,20.394543364489657
CUZ,277.0769815896249,16.645629504155885,11.443889464748802
CVI,29425.66365376597,171.53910240457122,101.95296199505226
CVS,1567000.3674161495,1251.798852618163,26.302555900179215
CVX,33401211.00883501,5779.37808149242,42.68144552388263
CXW,1332.5680108397512,36.504356052939094,45.253330091951646
CZR,342681.6571935348,585.3901751768087,55.71889656716247
DAL,2025895.5766505294,1423.3395858510116,56.11855156154625
DAN,1568.0464881056969,39.59856674307414,18.40545061905547
DAR,19940.24007026566,141.20991491487297,51.3322752275298
DBD,1034.039015726798,32.15647704159767,157.1497541891086
DE,1637956.8320771628,1279.8268758223367,30.651856030811047
DGX,189851.87882725024,435.719954589241,88.85304347746903
DG,37634.8873909455,193.99713242969727,21.885462955425666
DHI,1.1955413159327908e+18,1093408119.5659702,60.59805131423295
DHR,703762.3081708445,838.9054226614847,34.69156963756687
DKS,8763.811578202583,93.61523155022682,17.975484139892856
DK,27389.031055449603,165.49631734709266,125.48449943766042
DLR,18337.839103909602,135.4172777156209,13.754823961638705
DLTR,23878.27490193426,154.52596837403823,24.147147397056422
DLX,418.69224625603374,20.461970732459612,19.167791470989965
DOC,50661.580865924465,225.08127613358795,43.56460081702408
DOV,40805.65360493188,202.0040930400468,28.114053797095696
DRI,41949.808892959474,204.81652495089227,44.05067054484913
DVA,9323.911365890544,96.56040268086367,15.073964315241325
DVN,3202458.086989607,1789.5413063099738,81.29138199745428
DXC,1.9881148294487405e+17,445882813.01803285,99.30529400961325
DXPE,357.6520307398234,18.911690319477614,45.95035191797951
DY,4092.5828613149365,63.973298033749494,43.43031477147071
EA,14303.35224582024,119.59662305358057,19.842565817460187
EBAY,50224.91158039162,224.1091510411648,31.936558458456886
EBS,21610.80688314433,147.00614573256564,787.9733679599367
ECL,47031.73867960641,216.86802133926156,23.07813668079596
EFX,7113.9386039841365,84.3441675753821,17.410530029374723
EGP,286.28097737344245,16.91983975613961,11.67010808923604
EHC,394689035992413.0,19866782.22542375,6.644353994665317
EMN,14142.486453735833,118.92218654959147,27.30753234911758
EMR,43005.19909538635,207.37694928652593,14.993033943923534
ENLC,5692.026485986529,75.44551998618957,20.54770863862138
ENR,3052.7694033440557,55.251872396725666,147.90821105028942
ENS,1623.2261825653416,40.28928123664335,28.525363593675834
ENTG,3987.6368856608833,63.14773856331581,24.947792655255114
EOG,4165628.351436169,2040.987102221905,52.07232723473068
EPC,397.8759833987014,19.94682890583617,24.28249506257502
EPR,3946.559389614819,62.82164746020928,39.60465072866665
EQIX,87769.05939381782,296.2584334560247,24.033850703525143
EQR,19001.993898427307,137.8477199609312,16.57665289033164
EQT,1477474.7966699558,1215.5142108054335,95.89459525264006
EW,19420.490094587465,139.35741851292835,27.950924845102264
EXPE,458501.1289384444,677.1271143134385,97.34089048717742
EXP,2637.1296393207044,51.352990558688056,21.262727674898237
EXR,34668.51289743202,186.1948251091636,31.48971079066062
FANG,2602640.553813453,1613.2701428506798,80.69387904506391
FCN,145.87729755376296,12.077967442983233,9.570847393681452
FCX,516527.10929108236,718.6982045970911,33.02726242404567
FDX,160235.48737639774,400.2942509909401,9.410940300121586
FET,186.1451354083335,13.64350158164441,99.16726703874595
FICO,650.5186830813198,25.505267751610052,13.549189073730336
FLO,653.7243648712982,25.568034043924815,17.70390039192036
FLR,13740.79672563131,117.22114453302062,97.09539636279769
FLS,1735.9390009452222,41.664601293486804,34.364306126744346
FL,25343.218710787634,159.19553608938799,208.45244513970482
FMC,18921.939451580918,137.55704071977166,60.90493126714931
FOR,7374256.698584622,2715.5582664683557,2338.798868130612
FRT,2819.63456642747,53.100231321788705,21.860426810776623
FTNT,10388.11399342113,101.92209766984355,19.49900673350921
FUL,1218.6106610814509,34.90860439893653,20.457502221556165
F,1524014.455241608,1234.5098036231254,21.215255196443245
GCI,3432.599978446013,58.588394571331385,85.2197365195298
GD,30288.552463631007,174.03606655986857,9.541886962633535
GFF,3289.8753027122825,57.35743458970496,46.678124271229606
GHC,73340.2216944803,270.8139983355371,49.743847259212274
GILD,6420166.796435124,2533.8048063012125,40.013103655830115
GIS,12478.199395487178,111.70586106148225,8.78870707776202
GLDD,586665213859888.8,24221172.842368487,366.19231020349287
GLW,70113.19785699935,264.788968533433,31.4875428052178
GM,4330616.806653705,2081.01340857134,19.392654252479684
GOGO,301.7671582009867,17.371446635239874,31.839090835751172
GOOG,57318758.74371531,7570.915317431262,23.354837913677258
GPC,17817.42522924377,133.481928474396,24.324538659624057
GPI,8991.349366747378,94.82272600356613,31.165684427024942
GTLS,23420.507408555444,153.0376012898642,78.1088449998254
GTN,5.077738753098885e+16,225338384.50425807,92.19264811980983
GWW,41252.447120954654,203.10698442189192,26.219447490180837
HAL,226307.37850709195,475.7177508850095,34.77388893586088
HAS,22346.67750324156,149.48805137281562,129.0464983723409
HBI,24065.54308464063,155.1307290147269,184.995143859514
HEES,4091.894583993414,63.96791839659482,37.424688513668045
HEI,8994.37045537979,94.83865485855327,34.694813476613106
HES,495351.9868624308,703.812465691274,42.43182882883366
HII,4249.526574451937,65.1883929427006,22.429838485415324
HIW,445.8826835996957,21.115934352987928,12.5622412694199
HI,10129.439543563902,100.64511683913881,36.67699514737471
HLX,1165.0798749419712,34.133266397196316,39.06734586153155
HL,751.3684506442008,27.411100865237078,49.99971406689748
HOG,20361.519796591027,142.69379733047623,152.528512593131
HOLX,98540.97583193053,313.9123696701526,100.82718979387157
HON,67118.01599856034,259.0714496013799,10.455628668916123
HPE,26264.14352747857,162.0621594558044,10.605271045666727
HPP,7405.172953289208,86.05331459792359,806.0518576764725
HPQ,178661.51389381927,422.6837043154364,33.02591106371464
HP,21926.806615518515,148.07702933108334,63.79024099683035
HRL,1421.9031260729018,37.708130768746706,7.469621034663717
HUBB,16389.83139995312,128.0227768795581,38.58202574320154
HUN,30927.434767546725,175.86197646889656,176.06317528296498
HXL,872.9784878849807,29.54620936575419,36.534988160724815
HY,7496.973539502297,86.5850653375182,127.13486010775301
H,88427.53087989255,297.3676695269554,74.91339449155068
IBM,1213711.3332120765,1101.6856780461824,30.381412832546793
IBP,1833720292100454.8,42821960.39534452,34.37641417414161
ICUI,348.8546046903824,18.67764987064439,21.810116677426315
IEX,1535.6824464426577,39.18778440334,13.351877838520277
IFF,147749.23062445148,384.3816210804719,60.63647702489051
ILMN,13605.492862404077,116.642585972723,220.25310466109386
INGR,3695.163974235415,60.787860418305684,16.5253237621869
INTC,37967145.3465019,6161.748562421377,815.7003277637108
INTU,259425.0043993757,509.33780970921026,62.7993216399668
IP,129485.88190460896,359.8414677390711,57.30931761117035
IRM,3336.4820819516035,57.76228944520468,10.621229613319121
ITT,1794.3097654853839,42.35929373213609,23.2576053135158
ITW,33321.86949318422,182.54278811605846,15.085530468770337
IT,15739.301777621373,125.45637400156826,32.56955519308855
JBHT,32900.579715761065,181.38516950335566,34.883191351607614
JBLU,109981.08846293957,331.63396759520816,272.8992957774404
JBL,1.6768039752840422e+16,129491465.94598588,21.307606358144383
JLL,2.2025034148961444e+16,148408335.84728804,62.33589598983944
JNJ,4152933.2105878205,2037.874679804384,26.056763415029344
JNPR,12826.421673684215,113.25379319777424,106.44386956218985
JWN,2.4303743036129664e+16,155896578.01289183,41.8610288163126
KALU,426.8191946670423,20.659602964893647,39.392671013309304
KAR,956.4803571218463,30.9270166217475,38.07820642253502
KBH,9308.990841199266,96.4831116890374,29.173550114590874
KEX,5838.141116452935,76.40772942872294,45.42582276253779
KEYS,10651.972715909089,103.20839459999894,26.72918698223895
KFY,565.2381254214431,23.774737126232186,20.234137907949396
KIM,8895.80079577724,94.3175529568979,33.034132893055016
KLAC,279641.3880083251,528.81129716405,38.81241510598502
KMB,32566.69448514668,180.46244619074264,15.659203221271117
KMI,29488.565897186054,171.72235118698455,8.419749330297806
KMT,220.4342123045163,14.847027052730668,17.32954332531582
